시군구,연령대,인구수,추정 관람 횟수,시군구 합,1000명당 문화 수요 추정,,,2023문화예술관람지수
김해시,10대,"59,421",196089.3,1274924.2,21455.78499,,10대,3.3
김해시,20대,"60,080",270360,,,,20대,4.5
김해시,30대,"63,334",221669,,,,30대,3.5
김해시,40대,"91,804",257051.2,,,,40대,2.8
김해시,50대,"102,716",205432,,,,50대,2
김해시,60대,"71,142",92484.6,,,,60대,1.3
김해시,70대 이상,"45,483",31838.1,,,,70대 이상,0.7
산청군,10대,"1,895",6253.5,59341.4,31314.72296,,10대,3.3
산청군,20대,"1,980",8910,,,,20대,4.5
산청군,30대,"1,749",6121.5,,,,30대,3.5
산청군,40대,"2,952",8265.6,,,,40대,2.8
산청군,50대,"6,079",12158,,,,50대,2
산청군,60대,"8,234",10704.2,,,,60대,1.3
산청군,70대 이상,"9,898",6928.6,,,,70대 이상,0.7
의령군,10대,"1,348",4448.4,44820.5,33249.62908,,10대,3.3
의령군,20대,"1,461",6574.5,,,,20대,4.5
의령군,30대,"1,500",5250,,,,30대,3.5
의령군,40대,"2,421",6778.8,,,,40대,2.8
의령군,50대,"4,289",8578,,,,50대,2
의령군,60대,"6,097",7926.1,,,,60대,1.3
의령군,70대 이상,"7,521",5264.7,,,,70대 이상,0.7
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,"493,980",,,,,,
,,"32,787",,,,,,
,,"24,637",,,,,,
