,시군구,역사명,노선명,역위도,역경도
510,김해시,가야대,부산김해경전철,35.26672721,128.8650703
513,김해시,김해대학,부산김해경전철,35.2289958,128.9156126
514,김해시,김해시청,부산김해경전철,35.22710304,128.8904107
519,김해시,박물관,부산김해경전철,35.24006467,128.8718628
520,김해시,봉황,부산김해경전철,35.22726757,128.8743069
521,김해시,부원,부산김해경전철,35.22646624,128.8838997
522,김해시,불암,부산김해경전철,35.2221626,128.9278931
525,김해시,수로왕릉,부산김해경전철,35.2328215,128.8721409
526,김해시,연지공원,부산김해경전철,35.24965763,128.8692908
527,김해시,인제대,부산김해경전철,35.22809947,128.901736
528,김해시,장신대,부산김해경전철,35.25955642,128.8671142
529,김해시,지내,부산김해경전철,35.2275007,128.9237213
