시군구,변수명, 위도, 경도
의령군,가례,35.323882,128.243071
의령군,걔현2구,35.461935,128.251115
의령군,계현입구,35.431759,128.268696
의령군,구송산,35.420201,128.286022
의령군,구오목,35.399975,128.278603
의령군,군민회관,35.318166,128.264685
의령군,군북버스터미널,35.263606,128.343491
의령군,군북터미널,35.264769,128.34347
의령군,궁류-석정마을,35.447951,128.248488
의령군,궁류시장,35.439324,128.250312
의령군,남지버스터미널,35.391683,128.484119
의령군,농어촌공사,35.367125,128.261524
의령군,다현마을,35.463095,128.251445
의령군,당동마을,35.453924,128.246436
의령군,대산,35.285227,128.288806
의령군,두호,35.339513,128.382883
의령군,막곡,35.464672,128.333721
의령군,매곡,35.661749,129.35554
의령군,무전,35.525089,128.307595
의령군,봉두,35.063416,127.582371
의령군,봉두마을-역들,35.334301,128.215641
의령군,불양암-오암마을-암하,35.368672,128.321972
의령군,산학마을,35.350062,128.299272
의령군,삼영타운,35.318425,128.267381
의령군,상막곡,35.450902,128.33632
의령군,상연,35.369561,128.288316
의령군,상용,35.386445,128.275024
의령군,세간,35.52667,128.341073
의령군,시외버스터미널,35.323948,128.253147
의령군,신기,35.489214,128.41338
의령군,오목삼거리,35.410231,128.280388
의령군,오암마을-암하,35.369235,128.317148
의령군,용소,35.372214,128.282109
의령군,용암사,35.379614,128.27985
의령군,운곡,35.35392,128.289441
의령군,운암마을,35.3384,128.229692
의령군,원당,35.359459,128.370454
의령군,윗상연마을,35.369167,128.283656
의령군,의령고등학교,35.324591,128.266167
의령군,의령군법원-중앙주유소,35.320683,128.264321
의령군,의령약국,35.320156,128.262726
의령군,의령우체죽,35.318046,128.261938
의령군,의령전통시장,35.319999,128.26118
의령군,임천,35.636624,128.271742
의령군,입산,35.623139,128.271616
의령군,입암마을,35.609733,128.139653
의령군,장내,35.39257,128.320917
의령군,중압,35.456585,128.270103
의령군,중촌,35.391613,128.14558
의령군,지동,35.474752,128.253383
의령군,평촌,35.334598,128.226227
의령군,하압곡마을,35.429133,128.272124
의령군,하연,35.356326,128.290089
의령군,하용소,35.387624,128.27567
의령군,하촌1반,35.384741,128.135976
의령군,후곡,35.266948,128.26546
의령군,희가로아파트,35.322791,128.267541
